Primary Sector,Definition
Other Leisures,Recreational and leisure facilities not covered by specific categories such as entertainment venues or community recreation spaces.
Other Manufacturing Plant,General manufacturing facilities producing goods not captured by more specific manufacturing plant categories.
Other Marine & Inland Water Infrastructure,"Marine and waterway infrastructure such as locks, buoys, dredging facilities, and river control structures not separately classified."
Other Metal & Material Production Plant,"Facilities producing metals, minerals, or advanced materials not captured by specific metal production categories."
Other Mining Facilities,"Mining-related infrastructure and support facilities such as headframes, ventilation systems, or mine offices not separately classified."
Other Multi-Family Housing,"Residential buildings housing multiple households in formats not covered by condominium, apartment, or dormitory categories."
Other Oil & Gas Facilities / Services,"Oil and gas industry infrastructure, vessels, and support facilities not separately categorized."
Other Outdoor Leisure Facilities,"Open-air recreation areas and amenities including parks, trails, and sports areas not covered by specific facility types."
Other Performance Chemicals Plant,Facilities producing functional or specialty chemicals with specific performance properties for industrial or consumer applications.
Other Polymer Plants,Facilities manufacturing polymers and plastic materials not classified under specific named polymer production categories.
Other Public Buildings,Government or publicly owned buildings serving civic functions not captured by specific categories.
Other Railway Infrastructure,"Railway system components such as depots, maintenance facilities, signaling systems, and level crossings not separately classified."
Other Renewable Energy Plant,"Renewable energy generation facilities using technologies not categorized under solar, wind, hydro, geothermal, or biomass."
Other Research Facility,Scientific and technical research buildings or laboratories not covered by specific research facility classifications.
Other Residential Buildings,"Residential structures that do not fit standard housing categories, including unusual dwelling types or specialized accommodation."
Other Retail Building,"Commercial retail spaces and buildings not classified under shopping centers, retail stores, or other specific retail categories."
Other Road Infrastructure,"Road-related infrastructure components such as rest areas, tollbooths, signage systems, and road maintenance depots."
Other Sewage Infrastructure,"Sewage collection, treatment, and disposal components not classified under specific sewage infrastructure categories."
Other Silicone Monomer Plants,Facilities producing silicone monomer compounds not classified under the primary silicone monomer plant category.
Other Specialty Inorganics Plants,Facilities manufacturing specialized inorganic chemicals with niche industrial applications not separately categorized.
Other Specialty Polymers,Facilities producing high-performance polymers with specialized properties for demanding engineering or medical applications.
Other Sustainable Fuel Plants,"Facilities producing fuels from sustainable or low-carbon sources not classified under SAF, biodiesel, or bioethanol categories."
Other Syngas Derivatives,"Facilities producing chemicals or fuels derived from synthesis gas not classified under methanol, GTL, or other named categories."
Other Transportation and Storage Building,Buildings or structures supporting transportation operations and storage functions not classified under specific categories.
Other Waste Management Projects,"Waste management schemes or facilities not covered by specific waste disposal, treatment, or recycling categories."
Other Waste Recycling Plant,"Recycling facilities processing waste streams not covered by specific material recycling categories such as glass, metal, or plastic."
Other Waste Treatment Facility,"Facilities providing waste treatment services not classified under hazardous, medical, chemical, or biological treatment categories."
Other Water and Sewage Infrastructure,"Water and wastewater system components not classified under specific water supply, sewage, or drainage infrastructure categories."
Other Water Infrastructure,"Water system assets including reservoirs, intake structures, and distribution networks not classified under specific water infrastructure types."
Others Non-Renewable Energy,"Power generation facilities using non-renewable energy sources not classified under coal, oil, gas, or nuclear categories."
Outdoor Recreation Facility,"An open-air venue providing structured recreational activities such as adventure sports, picnic areas, or nature experiences."
Overhead,"Aerial infrastructure such as lines, cables, or structures mounted above ground level for power, communication, or transport purposes."
Overhead Transmission Line,High-voltage electrical conductors suspended on towers or poles to transmit electricity over long distances from generators to substations.
Overpass,"An elevated road, bridge, or passage that allows one route to cross over another without intersection."
Paints and Coatings Plant,"A manufacturing facility producing protective and decorative paints, varnishes, lacquers, and coatings for construction and industrial use."
Paper & Pulp Mill,"A facility that processes wood fiber or recycled paper into pulp and manufactures paper, cardboard, or tissue products."
Paper Recycling Facility,"A plant that collects, sorts, and reprocesses waste paper and cardboard into recycled fiber for new paper production."
Park & Playground,"A public outdoor space designed for recreation, leisure, and play, featuring natural landscaping, benches, and play equipment."
Parking Facility,A designated area or multi-story structure providing spaces for the temporary storage and parking of vehicles.
PDH-PP (Propane Dehydrogenation - Polypropylene) Plant,"An integrated facility that converts propane into propylene via dehydrogenation, then polymerizes propylene into polypropylene resin."
Penitentiary,A secure correctional institution housing individuals sentenced to long-term imprisonment under government supervision.
"Pesticide Plant (Insecticides, Herbicides, Fungicides)","A chemical manufacturing facility producing active substances for crop protection including insect, weed, and fungal control products."
PET Food Plant,A facility manufacturing processed food products specifically formulated for the nutritional needs of domestic pets.
Petrochemical Complex,"A large industrial facility that converts petroleum and natural gas feedstocks into a wide range of chemicals, polymers, and specialty products."
Petroleum Coke Calcination Unit,A facility that heats green petroleum coke to high temperatures to produce calcined coke used in aluminum smelting and electrode manufacturing.
Pharmaceutical Formulation,"A facility that combines active pharmaceutical ingredients with excipients to produce final dosage forms such as tablets, capsules, or injections."
Pharmaceutical Plant,"An integrated manufacturing facility producing pharmaceutical drugs through synthesis, formulation, and quality-controlled packaging."
Phenol Plant,"A chemical facility producing phenol from cumene oxidation, used in the manufacture of bisphenol-A, resins, and pharmaceuticals."
Phosphoric Acid Plant,"A facility producing phosphoric acid by treating phosphate rock with sulfuric acid, primarily used in fertilizer and food processing industries."
Phthalic Anhydride Plant,"A chemical plant producing phthalic anhydride from o-xylene oxidation, used in plasticizers, alkyd resins, and pigments."
Pier,"A raised platform extending over water, used for docking vessels, recreational activities, or as a public walkway."
Plant Growth Regulators Production Facility,"A facility manufacturing chemical compounds that modify plant growth processes such as germination, flowering, and fruit development."
Plasma Arc Gasification Plant,A waste-to-energy facility using extremely high-temperature plasma torches to gasify waste into syngas and vitrified slag.
Plastic Recycling Facility,"A plant that collects, sorts, cleans, and reprocesses plastic waste into recycled resin or pellets for use in new plastic products."
Poly Lactic Acid (PLA) Plant,"A facility producing PLA, a biodegradable bioplastic derived from fermented plant sugars, used in packaging and biomedical applications."
Polyacetal (POM) Plant,"A facility producing polyoxymethylene engineering thermoplastic, known for its high stiffness and dimensional stability in precision parts."
Polyacrylamide (PAM) Plant,"A chemical facility producing polyacrylamide polymer, used as a flocculant in water treatment, enhanced oil recovery, and paper making."
Polyamide (Nylon) Plant,"A facility producing polyamide polymers such as nylon-6 and nylon-6,6, used in textiles, automotive parts, and engineering plastics."
Polybutadiene Plant,"A facility producing polybutadiene rubber (BR), a synthetic elastomer used in tires, golf balls, and high-impact polystyrene modification."
Polycarbonate Plant,"A facility producing polycarbonate, a transparent, impact-resistant thermoplastic used in eyewear lenses, electronics, and safety applications."
Polyester Fiber Plant,"A facility that polymerizes PET and spins it into polyester fibers for textiles, non-wovens, and technical fabric applications."
"Polyethylene Plant (HDPE, LDPE, LLDPE, UHMWPE)","A facility producing various grades of polyethylene resin, the world's most produced plastic, used in films, pipes, bottles, and packaging."
Polyethylene Terephthalate (PET) Plant,"A facility producing PET polymer used in beverage bottles, food packaging, and polyester fibers through polycondensation reactions."
Polyhydroxyalkanoates (PHA) Plant,"A facility producing PHA biopolymers derived from microbial fermentation, serving as a biodegradable alternative to conventional plastics."
Polyisobutylene (PIB) Plant,"A facility producing polyisobutylene, a viscous polymer used in lubricant additives, adhesives, sealants, and butyl rubber blends."
Polyisoprene Plant,"A facility producing synthetic polyisoprene rubber, structurally similar to natural rubber, used in medical gloves and adhesive applications."
Polymethyl Methacrylate (PMMA) Plant,"A facility producing PMMA acrylic glass, a transparent thermoplastic used as a lightweight alternative to glass in signs and displays."
Polypropylene Plant,"A facility producing polypropylene resin, a versatile thermoplastic used in packaging, automotive components, textiles, and household goods."
Polystyrene Plant,"A facility producing polystyrene resin, used in disposable packaging, insulation foam, and consumer electronics housings."
Polytetrafluoroethylene (PTFE) Plant,"A facility producing PTFE fluoropolymer, known by the brand Teflon, used in non-stick coatings, seals, and high-performance applications."
Polyurea Plant,"A facility producing polyurea elastomers through the rapid reaction of isocyanates and amines, used in coatings, linings, and waterproofing."
Polyurethane Plant,"A facility producing polyurethane polymers used in foams, adhesives, coatings, elastomers, and insulation applications."
Polyvinyl Alcohol Plant,"A facility producing polyvinyl alcohol (PVA), a water-soluble synthetic polymer used in adhesives, coatings, films, and textile sizing."
Polyvinyl Chloride (PVC) Plant,"A facility producing PVC polymer from vinyl chloride monomer, used in pipes, flooring, window frames, and medical devices."
Port Facility,"A commercial waterfront complex providing infrastructure for loading, unloading, and transshipment of cargo and passengers between ships and land."
Potassium Chloride (Potash) Plant,"A facility processing potash ore into potassium chloride fertilizer, supplying the essential potassium nutrient for plant growth."
Power Barge,"A floating power generation unit mounted on a barge, used to supply electricity to coastal or remote areas on a temporary or permanent basis."
Precious Metal,"A facility for mining, refining, or processing precious metals such as gold, silver, platinum, and palladium."
Prefabricated Apartment,A multi-unit residential building where floors or units are manufactured as prefabricated modules and assembled on-site.
Prefabricated Multi-Family Home,"A residential structure housing multiple families, built using standardized prefabricated components assembled on-site."
Prefabricated Single-Family Home,"A standalone dwelling for one family, constructed using factory-made components that are transported and assembled on a prepared foundation."
Printed Circuit Board Chemicals Plant,"A facility producing specialty chemicals used in printed circuit board manufacturing, including etching, plating, and cleaning compounds."
Printing Inks Plant,"A manufacturing facility producing inks formulated for printing applications including packaging, publications, labels, and commercial graphics."
Propylene Glycol Plant,"A facility producing propylene glycol, a versatile chemical used as a food additive, pharmaceutical excipient, antifreeze, and industrial solvent."
Propylene Oxide Plant,"A chemical facility producing propylene oxide, a key feedstock for polyurethane polyols, propylene glycol, and surfactants."
Propylene Plant,"A facility producing propylene monomer from cracking or dehydrogenation processes, used in polypropylene, acrylonitrile, and chemical production."
Pumped Hydro Storage (PHS),A large-scale energy storage facility that pumps water uphill when power is abundant and releases it through turbines to generate electricity during peak demand.
Pumping Station,"A facility housing pumps and associated equipment used to move water, sewage, oil, or other fluids through pipeline systems."
Pyrolysis Plant,"A facility that thermally decomposes organic materials in the absence of oxygen to produce bio-oil, char, and syngas from waste or biomass."
Radioactive Waste Management,"A facility or system for the safe collection, conditioning, storage, and disposal of radioactive materials from nuclear activities."
Railway Production Unit,"A facility manufacturing rolling stock including locomotives, passenger coaches, freight wagons, or metro cars for railway systems."
Railway Station,"A passenger transport hub providing platforms, waiting areas, ticketing, and services for boarding and alighting rail services."
Railway Tunnel,"An underground passage constructed for railway operations, allowing trains to pass through mountains, under rivers, or beneath urban areas."
Rayon Plant,"A facility producing rayon (viscose) fibers by chemically processing cellulose from wood pulp, used in textiles and non-woven materials."
Refined Products Pipeline,"A pipeline system transporting refined petroleum products such as gasoline, diesel, jet fuel, and LPG from refineries to distribution terminals."
Refinery,"A processing facility that distills, refines, and converts crude oil into marketable petroleum products such as fuels, lubricants, and feedstocks."
Renewable Natural Gas Facility (RNG),A facility that upgrades biogas from organic waste sources to pipeline-quality renewable natural gas for injection or vehicle use.
Reservoir,"A natural or artificial lake used to collect and store water for drinking, irrigation, industrial use, or hydroelectric generation."
Resort,"An upscale destination facility offering accommodation, entertainment, recreation, and hospitality services in a scenic or themed environment."
Retail Bank Building,"A commercial building where a bank provides in-person financial services including deposits, loans, and transactions to individual customers."
Retail Store,A commercial establishment where goods are sold directly to consumers through physical storefronts or outlets.
Road,A paved or unpaved surface infrastructure designed for vehicular travel between locations.
Road Tunnel,An underground passage constructed to allow road vehicles to travel through or under geographic obstacles such as mountains or bodies of water.
Rock Mining,"The extraction of rock materials including limestone, granite, and sandstone from quarries for construction, industrial, and chemical use."
School,An educational institution providing primary or secondary education to children and adolescents in a structured curriculum environment.
Sea Walls/Quay,"Coastal defense structures or vertical embankments built along shorelines to prevent erosion, protect infrastructure, and provide vessel berthing."
Sea Water Cooling Plant,"A facility that extracts seawater to provide cooling for industrial processes, air conditioning systems, or power plant condensers."
Seed Treatment Chemicals Plant,"A facility producing chemical compounds applied to seeds before planting to protect against pests, diseases, and improve germination."
Self Storage,A commercial facility offering rentable individual storage units to businesses and individuals for temporary storage of personal or commercial goods.
Semi-Detached Home,A residential dwelling that shares one common wall with an adjacent property but is otherwise independently owned and accessed.
Semiconductor Chemicals Plant,"A facility producing ultra-high-purity chemicals, gases, and materials used in semiconductor fabrication processes."
Semiconductor Plant,A highly advanced manufacturing facility (fab) that produces integrated circuits and microchips on silicon wafers for electronics.
Sewage Collection & Disposal Line,A network of underground pipes and conduits that collect and convey wastewater from homes and businesses to treatment facilities.
Sewage Disposal Plant,A facility that processes and safely disposes of treated sewage effluent through methods such as land application or marine outfall.
Sewage Pumping Station,A facility that uses pumps to move sewage from low-lying collection areas to treatment plants or higher-elevation distribution points.
Sewage Treatment Plant,"A facility that removes physical, chemical, and biological contaminants from wastewater before it is safely discharged or reused."
Sewage Tunnel,An underground tunnel providing a large-diameter conduit for sewage or combined stormwater flows beneath urban areas.
Shopping Centers & Retail Hall,"A large commercial complex housing multiple retail stores, restaurants, entertainment venues, and service businesses under one roof."
Shore Protection System,"Engineered structures such as breakwaters, groins, and revetments built to protect coastlines from wave erosion and storm damage."
Silicon Plant,A facility producing metallurgical or polysilicon from quartz and carbon through carbothermic reduction in electric arc furnaces.
Silicone Monomer Plant,"A facility producing chlorosilane monomers by reacting silicon metal with methyl chloride, used as precursors for silicone polymers."
Single Superphosphate (SSP) Production Plant,"A facility producing single superphosphate fertilizer by treating rock phosphate with sulfuric acid, providing phosphorus and calcium to soils."
Ski Tow,A mechanical lift system that tows skiers or snowboarders up a ski slope using a rope or cable mechanism.
Sludge Management,"A facility or system for the treatment, dewatering, and disposal of sludge generated from wastewater treatment operations."
Small Scale LNG (SSLNG),"A small-capacity LNG production, distribution, or storage facility serving remote, off-grid, or niche market applications."
Smelter,"An industrial facility that melts ore to extract base metals such as copper, zinc, lead, or nickel through pyrometallurgical processes."
Sodium Bicarbonate Plant,"A facility producing sodium bicarbonate (baking soda) for food, pharmaceutical, industrial, and environmental applications."
Sodium Carbonate (Soda Ash) Plant,"A facility producing soda ash through the Solvay process or natural mining, used in glass, detergents, and chemical manufacturing."
Sodium Silicate Plant,"A facility producing sodium silicate solutions and solids used in detergents, adhesives, cement, and industrial processes."
Sodium-Ion Battery Production Plant,"A facility manufacturing sodium-ion batteries, an emerging energy storage technology offering a cost-effective alternative to lithium-ion batteries."
Solar Photovoltaic Power Plant (PV),A large-scale power generation facility where solar panels convert sunlight directly into electricity through the photovoltaic effect.
Solar PV Cells & Modules Manufacturing Plant,A facility producing photovoltaic cells and assembling them into modules (solar panels) for commercial and residential power generation.
Solar PV Panel Recycling Facility,"A plant that processes decommissioned solar panels to recover glass, silicon, metals, and other materials for reuse."
Solid Chemical Storage,"A facility with warehousing, containment, and safety systems designed for the bulk storage of solid chemical materials."
Solid-State Battery Production Plant,"A manufacturing facility producing solid-state batteries, which use a solid electrolyte instead of a liquid, offering improved safety and energy density."
Sorting Plant,"A facility that separates mixed waste, recyclables, or materials by type using mechanical, optical, or manual sorting technologies."
Spandex Fiber Plant,"A facility producing spandex (elastane) fibers, highly elastic synthetic fibers used in sportswear, underwear, and stretch fabrics."
Special Economic Zone (SEZ),"A designated geographic area offering preferential economic policies, tax incentives, and streamlined regulations to attract business investment."
Sports Field,"An outdoor or indoor venue designed for competitive or recreational sports activities including football, cricket, or baseball."
Stadium,"A large facility with tiered seating for spectators, designed to host sports events, concerts, and large-scale public gatherings."
Steam Crackers,A petrochemical facility that thermally cracks hydrocarbon feedstocks using steam at high temperatures to produce olefins such as ethylene and propylene.
Steam Reforming Plant,A chemical facility that reacts hydrocarbons with steam over a catalyst at high temperatures to produce hydrogen and synthesis gas.
Steam Turbine Manufacturing Plant,"A facility that designs and produces steam turbines for power generation, marine propulsion, and industrial drive applications."
Steel Mill,An industrial plant that produces steel from iron ore or scrap metal through processes such as the basic oxygen furnace or electric arc furnace.
Storage Tank,"A fixed container for storing liquids or gases including petroleum, chemicals, or water at industrial or commercial facilities."
Storage Tanks & Tower,"Elevated or ground-level storage structures for holding water, fuel, or chemicals under pressure or gravity-fed distribution systems."
Storage Terminal,"A large facility with multiple tanks for the receipt, blending, and distribution of petroleum products, chemicals, or LNG."
Storm Sewer,An underground drainage system designed to collect and convey rainwater and surface runoff away from urban areas to prevent flooding.
Streetcar Line,"An urban electric rail transit system running on tracks embedded in city streets, providing short-distance passenger transport."
Styrene Plant,"A chemical facility producing styrene monomer by dehydrogenating ethylbenzene, used in polystyrene and synthetic rubber manufacturing."
Styrene-Butadiene Rubber (SBR) Plant,"A facility producing SBR, the most widely used synthetic rubber made by copolymerizing styrene and butadiene, for tires and industrial products."
Sulfur Storage & Handling,"Infrastructure and facilities for the safe storage, solidification, and transportation of elemental sulfur recovered from refineries and gas plants."
Sulfuric Acid Alkylation Unit,A refinery unit that combines isobutane with light olefins using sulfuric acid as a catalyst to produce high-octane alkylate blending component.
Sulfuric Acid Plant,"A chemical facility producing sulfuric acid through the contact process, the most widely produced industrial chemical used in fertilizers and chemicals."
Supercapacitor/Ultracapacitor Production Plant,"A facility manufacturing electrochemical capacitors that store and release energy rapidly, used in regenerative braking and power electronics."
Surfactants Production Facility,"A chemical plant producing surface-active agents used in detergents, personal care products, emulsifiers, and industrial cleaning applications."
Sustainable Aviation Fuels (SAF) Production,A facility producing low-carbon aviation fuel from bio-based or synthetic pathways to reduce the climate impact of air travel.
Switching Station & Substation,Electrical infrastructure that transforms voltage levels and routes electricity between transmission and distribution networks.
Synthetic Fuels Production Facilities,"Plants producing liquid or gaseous fuels from non-petroleum sources such as coal, natural gas, or CO2 via chemical synthesis."
Synthetic Organic Chemical Plant,"A facility producing man-made organic compounds through chemical synthesis for use in pharmaceuticals, agriculture, and industry."
Temple,"A place of worship for non-Christian religions including Hinduism, Buddhism, or Sikhism, serving as a sacred space for religious practices."
Terephthalic Acid (PTA) Plant,"A chemical facility producing purified terephthalic acid, the primary raw material for PET polyester used in bottles and fibers."
Terraced Housing,"A row of identical or similar residential properties sharing common side walls, built as a continuous block along a street."
Textile Mill,"A manufacturing facility that processes natural or synthetic fibers into yarn, fabric, and textile products through spinning and weaving."
Textile Recycling Facility,"A facility that collects, sorts, and reprocesses used clothing and textiles into recycled fiber, rags, or new yarn products."
Thermal Energy Storage (TES),"A system that stores thermal energy (hot or cold) during off-peak hours for use in heating, cooling, or power generation during peak demand."
Tire Recycling Plant,"A facility that shreds, granulates, and processes end-of-life tires into crumb rubber, steel, and fiber for secondary use."
Titanium Dioxide Plant,"A chemical facility producing titanium dioxide, the world's primary white pigment used in paints, plastics, paper, and cosmetics."
Toluene Plant,"A chemical plant producing toluene, an aromatic solvent and chemical precursor used in making benzene, xylene, TNT, and polymers."
Townhouse,A multi-story residential unit in a row of attached homes sharing party walls but with individual street access and often a private yard.
Trams Line,"A passenger rail system operating on city streets or dedicated urban tracks, providing fixed-route transit within a metropolitan area."
Transformer Manufacturing Plant,"A facility producing electrical transformers that step voltage up or down for transmission, distribution, and industrial use."
Transformer Stations & Substation,"Electrical facilities housing transformers, switchgear, and protective equipment to change voltage levels in the power network."
Truck Terminal,"A freight logistics hub where goods are loaded, unloaded, sorted, and transferred between trucks for onward distribution."
Tubes/Underground Rail/Subway Rail,A rapid transit system running in tunnels below city streets providing high-capacity urban passenger transportation.
Tyre Manufacturing Plant,"A facility producing rubber tires for vehicles including cars, trucks, aircraft, and industrial equipment through vulcanization processes."
Ultracapacitor,A high-capacity electrochemical capacitor device used for rapid energy storage and release in transportation and industrial power applications.
Underground Cable,Electrical or telecommunications cables installed below ground level to transmit power or data signals in urban or sensitive environments.
Underground Transmission Line,High-voltage power cables installed in underground conduits or tunnels to transmit electricity where overhead lines are not feasible.
Underpass,"A tunnel or passage built beneath a road, railway, or other obstacle allowing pedestrians, cyclists, or vehicles to pass underneath."
Underwater Transmission Line,"High-voltage submarine cables installed on the seabed to transmit electricity between islands, offshore installations, and mainland grids."
Underwater/Submarine Cable,"Cables laid on the ocean floor to carry telecommunications data, internet traffic, or power between continents or offshore facilities."
University,"A higher education institution offering undergraduate, postgraduate, and doctoral programs across a broad range of academic disciplines."
Upstream - Offshore,"Oil and gas exploration, drilling, and production activities conducted on offshore platforms, subsea systems, and floating production units."
Upstream - Onshore,"Oil and gas exploration, drilling, and production activities conducted on land including wellheads, flow lines, and production facilities."
Urea Plant,"A chemical facility producing urea from ammonia and carbon dioxide, the most widely used nitrogen fertilizer in global agriculture."
Villa,"A spacious, high-quality detached residential dwelling, typically with landscaped gardens and premium finishes, often in a resort or suburban setting."
Vinyl Acetate Plant,"A chemical plant producing vinyl acetate monomer by reacting ethylene with acetic acid, used in adhesives, paints, and polymer films."
Warehouse,"A large commercial building used for the storage of raw materials, goods, and products prior to distribution or retail sale."
Waste to Chemical/Bio-Chemical,"A facility that converts waste materials into valuable chemical or biochemical products through thermal, chemical, or biological processes."
Waste Water Treatment Plant (WWTP),"A facility that removes physical, chemical, and biological contaminants from wastewater to make it safe for environmental discharge or reuse."
Water Distribution Line,A network of pipes and infrastructure that delivers treated potable water from treatment plants or reservoirs to residential and commercial users.
Water Treatment Chemicals Plant,"A facility producing coagulants, disinfectants, and other specialty chemicals used in water and wastewater treatment processes."
Water Treatment Plant,"A facility that processes raw water from natural sources through filtration, sedimentation, and disinfection to produce safe drinking water."
Water Tunnel,"An underground tunnel used to convey water for drinking, irrigation, or drainage purposes, typically over long distances beneath urban or mountain terrain."
Wharf,A structure built along or at an angle to the shore where ships can dock to load or unload cargo and passengers.
Wind Turbine Manufacturing Plant,"A facility that produces wind turbine components including blades, nacelles, towers, and generators for onshore and offshore wind projects."
Xylene Isomerization Plant,A refinery or petrochemical unit that converts mixed xylene isomers into the desired para-xylene fraction for PTA and PET production.
Xylenes Plant,"A chemical facility producing xylene isomers (ortho, meta, and para) from catalytic reforming or coal tar, used in solvents and PTA production."
Zinc-Based Battery Production Plant,"A facility manufacturing zinc-based rechargeable batteries including zinc-air, zinc-ion, or zinc-bromine systems for energy storage applications."
